neighborhood,shelter_no,waze_link,area,type,capacity,operator,latitude,longiude,address_label,Administration,neighborhood,name_other,google_maps_link
Beit Yisrael,841,"https://www.waze.com/ul?ll=31.79069840,35.22133660&amp;navigate=yes&amp;zoom=16",100,,80,"""Mosiyof"" synagogue",31.79120318,35.22139609,25 Yoel St.,,,HaBucharim - Beit Yisrael,"https://www.google.com/maps/dir//31.7906984,35.2213366+(25+Yoel+St.)"
Beit Yisrael,908,"https://www.waze.com/ul?ll=31.79186860,35.22323570&amp;navigate=yes&amp;zoom=16",100,,80,Bucharim Community Administration,31.79208743,35.2232357,22 Shimshon Polanski St.,,,HaBucharim - Beit Yisrael,"https://www.google.com/maps/dir//31.7918686,35.2232357+(22+Shimshon+Polanski+St.)"
Talbiya,Public Shelter No. 807,"https://www.waze.com/ul?ll=31.77001220,35.21782930&amp;navigate=yes&amp;zoom=16",115,,92,"Emergency and Security Division, Jerusalem Municipality",31.77014346,35.21700218,7 Benjamin Disraeli St.,,,Talbiya - Komemiyut,"https://www.google.com/maps/dir//31.7700122,35.2178293+(7+Benjamin+Disraeli+St.)"
Sanhedria,Public Shelter No.602,"https://www.waze.com/ul?ll=31.79747430,35.21873600&amp;navigate=yes&amp;zoom=16",100,Shelter,80,"""Hasidei Morditz"" yeshiva",31.79755634,35.21872527,6 HaSanhedrin St.,,,Sanhedria,"https://www.google.com/maps/dir//31.7974743,35.218736+(6+HaSanhedrin+St.)"
Shmuel HaNavi ,Public Shelter No.604,"https://www.waze.com/ul?ll=31.79568800,35.21879420&amp;navigate=yes&amp;zoom=16",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.795412149351,35.2188737,8 Shimon Hacham St.,,,Shmuel HaNavi,"https://www.google.com/maps/dir//31.795688,35.2187942+(8+Shimon+Hacham+St.)"
Romema,Public Shelter No.606,"https://www.waze.com/ul?ll=31.79558840,35.21449380&amp;navigate=yes&amp;zoom=16",80,,64,"Emergency and Security Division, Jerusalem Municipality",31.795624849267,35.2144723462723,1 Pnina St.,,,Romema,"https://www.google.com/maps/dir//31.7955884,35.2144938+(1+Pnina+St.)"
Bucharim ,Public Shelter No.609,"https://www.waze.com/ul?ll=31.79223540,35.21767550&amp;navigate=yes&amp;zoom=16?ll=31.79223540,35.21767550&amp;navigate=yes&amp;zoom=16",250,Shelter ,200,"Emergency and Security Division, Jerusalem Municipality",31.79229011,35.2176755,23 Yisa Bracha St.,,,HaBucharim - Beit Yisrael,"https://www.google.com/maps/dir//31.7922354,35.2176755+(23+Yisa+Bracha+St.)"
Bukharim,Public Shelter No.612,"https://www.waze.com/ul?ll=31.78984170,35.22089090&amp;navigate=yes&amp;zoom=16?ll=31.78984170,35.22089090&amp;navigate=yes&amp;zoom=16",50,Shelter,40,Karlin Hasidic community,31.78987955,35.22089024,16 Yoel St.,,,HaBucharim - Beit Yisrael,"https://www.google.com/maps/dir//31.7898417,35.2208909+(16+Yoel+St.)"
Shmuel HaNavi,Public Shelter No.616,"https://ul.waze.com/ul?place=ChIJu7pxf90pAxURLAhuO0f2chM&amp;ll=31.79247020,35.22314580&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location",,Shelter,80,"Emergency and Security Division, Jerusalem Municipality",31.7924923314014,35.22309569,61 Shmuel Hanavi St.,,,Shmuel HaNavi,"https://www.google.com/maps/dir//31.7924702,35.2231458+(61+Shmuel+Hanavi+St.)"
Shmuel HaNavi,Public Shelter No.618,"https://www.waze.com/ul?ll=31.79279960,35.22317870&amp;navigate=yes&amp;zoom=16",110,,137,"""Ohalei Ya'akov"" synagogue ",31.7928607312923,35.22315682,66 Shmuel HaNavi St.,,,Shmuel HaNavi,"https://www.google.com/maps/dir//31.7927996,35.2231787+(66+Shmuel+HaNavi+St.)"
Geula,Public Shelter No.621,"https://www.waze.com/ul?ll=31.78944350,35.21955760&amp;navigate=yes&amp;zoom=16",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.78971852,35.2196259,8 Hoshe'a St.,,,Geula,"https://www.google.com/maps/dir//31.7894435,35.2195576+(8+Hoshe'a+St.)"
Mea She'arim,Public Shelter No.632,"https://www.waze.com/ul?ll=31.78564640,35.22460790&amp;navigate=yes&amp;zoom=16",80,Shelter,64,"Emergency and Security Division, Jerusalem Municipality",31.78581751,35.22459891,87 Me'a She'arim St.,,,Mea Shearim,"https://www.google.com/maps/dir//31.7856464,35.2246079+(87+Me'a+She'arim+St.)"
Geula,Public Shelter No.637,"https://www.waze.com/ul?ll=31.78767970,35.21894860&amp;navigate=yes&amp;zoom=16",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.7877374,35.21997837,18 Nahman MiBreslev St.,,,Geula,"https://www.google.com/maps/dir//31.7876797,35.2189486+(18+Nahman+MiBreslev+St.)"
City Center,Public Shelter No.639,"https://www.waze.com/ul?ll=31.78554110,35.21520460&amp;navigate=yes&amp;zoom=16",250,,200,Degel Yerushalayim,31.7857051633117,35.2151295195639,2 Michel Pines St.,,,City Center,"https://www.google.com/maps/dir//31.7855411,35.2152046+(2+Michel+Pines+St.)"
Mekor Baruch,Public Shelter No.641,"https://www.waze.com/ul?ll=31.78913660,35.21372570&amp;navigate=yes&amp;zoom=16",180,,144,"""HaMeor Nativ Kodesh"" organization",31.78927688,35.21424313,25 Kfar Nahum St.,,,Makor Baruch,"https://www.google.com/maps/dir//31.7891366,35.2137257+(25+Kfar+Nahum+St.)"
Mekor Baruch ,Public Shelter No.643,"https://www.waze.com/ul?ll=31.79037470,35.21093400&amp;navigate=yes&amp;zoom=16",400,,320,"Emergency and Security Division, Jerusalem Municipality",31.79060663,35.21083998,73 Malkei Israel St.,,,Makor Baruch,"https://www.google.com/maps/dir//31.7903747,35.210934+(73+Malkei+Israel+St.)"
Mahane Yehuda,Public Shelter No.648,"https://www.waze.com/ul?ll=31.78341050,35.20962170&amp;navigate=yes&amp;zoom=16",236,,188,"Emergency and Security Division, Jerusalem Municipality",31.78336583,35.20939807,15 Nahar Prat St.,,,City Center,"https://www.google.com/maps/dir//31.7834105,35.2096217+(15+Nahar+Prat+St.)"
Nachlaot,Public Shelter No.657,"https://www.waze.com/ul?ll=31.77953990,35.21121990&amp;navigate=yes&amp;zoom=16",,,400,"Society Division of Jerusalem Municipality, ""Ariel"" youth movement ",31.77968218,35.21119735,21 Tsfat St.,,,Nachlaot - Lev Ha'ir,"https://www.google.com/maps/dir//31.7795399,35.2112199+(21+Tsfat+St.)"
Rehavia,Public Shelter No.658,"https://www.waze.com/ul?ll=31.77552590,35.21402360&amp;navigate=yes&amp;zoom=16",80,,64,"Emergency and Security Division, Jerusalem Municipality",31.7756013987167,35.2141171039459,13 Ibn Ezra St.,,,Rehavia,"https://www.google.com/maps/dir//31.7755259,35.2140236+(13+Ibn+Ezra+St.)"
Rehavia,Public Shelter No.659,"https://www.waze.com/ul?ll=31.77508850,35.21529880&amp;navigate=yes&amp;zoom=16",160,,128,"Emergency and Security Division, Jerusalem Municipality",31.7751110573696,35.2153943174367,15 Ibn Gabirol St.,,,Rehavia,"https://www.google.com/maps/dir//31.7750885,35.2152988+(15+Ibn+Gabirol+St.)"
Kiryat Shmuel,Public Shelter No.667,"https://ul.waze.com/ul?place=ChIJqRFPadfXAhURTfNMjSFVJ2A&amp;ll=31.76747800,35.21103320&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location",180,,144,"Emergency and Security Division, Jerusalem Municipality",31.7674870956754,35.2110439327826,22 HaPalmach St.,,,Kiryat Shmuel,"https://www.google.com/maps/dir//31.767478,35.2110332+(22+HaPalmach+St.)"
,Public Shelter No.670,"https://www.waze.com/ul?ll=31.76545540,35.21291140&amp;navigate=yes&amp;zoom=16",140,Shelter,112,"Emergency and Security Division, Jerusalem Municipality",31.76565605,35.21287922,9 Bostanai St.,,,German Colony,"https://www.google.com/maps/dir//31.7654554,35.2129114+(9+Bostanai+St.)"
Old Katamon,Public Shelter No.671,"https://ul.waze.com/ul?place=ChIJr7GH8dfXAhURbAYF-CIC8ro&amp;ll=31.76615520,35.21380620&amp;navigate=yes&amp;utm_campaign=default,default&amp;utm_source=waze_website,waze_website&amp;utm_medium=lm_share_location",160,,128,"Emergency and Security Division, Jerusalem Municipality",31.7661670656405,35.2138039462735,22 Kaf Tet BeNovember St.,,,"Gonenim - Katamonim, Accessible Shelter","https://www.google.com/maps/dir//31.7661552,35.2138062+(22+Kaf+Tet+BeNovember+St.)"
Emek Refaim,Public Shelter No.672,"https://www.waze.com/ul?ll=31.76495610,35.21729920&amp;navigate=yes&amp;zoom=16",150,,120,"Emergency and Security Division, Jerusalem Municipality",31.76506375,35.21736907,10 Ruth St.,,,German Colony,"https://www.google.com/maps/dir//31.7649561,35.2172992+(10+Ruth+St.)"
Emek Refaim,Public Shelter No.673,"https://www.waze.com/ul?ll=31.76346690,35.21857070&amp;navigate=yes&amp;zoom=16",114,Shelter,91,"Emergency and Security Division, Jerusalem Municipality",31.78075326,35.21629892,3 Malal St.,,,German Colony,"https://www.google.com/maps/dir//31.7634669,35.2185707+(3+Malal+St.)"
Emek Refaim ,Public Shelter No.674,"https://ul.waze.com/ul?place=ChIJSd1N-_kpAxURhzRLw1T-FdE&amp;ll=31.76597870,35.21828410&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location",150,,120,"Emergency and Security Division, Jerusalem Municipality",31.76617023,35.218209,7 Bachar St.,,,HaMoshava HaGermanit,"https://www.google.com/maps/dir//31.7659787,35.2182841+(7+Bachar+St.)"
Emek Refaim,Public Shelter No.676,"https://www.waze.com/ul?ll=31.76436110,35.22100730&amp;navigate=yes&amp;zoom=16",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.76455263,35.22099657,6 Emile Zola St.,,,German Colony,"https://www.google.com/maps/dir//31.7643611,35.2210073+(6+Emile+Zola+St.)"
Emek Refaim,Public Shelter No.677,"https://www.waze.com/ul?ll=31.76362400,35.22109630&amp;navigate=yes&amp;zoom=16",290,,232,"Emergency and Security Division, Jerusalem Municipality",31.76403005,35.22126489,6 Wyndham Deedes St.,,,German Colony,"https://www.google.com/maps/dir//31.763624,35.2210963+(6+Wyndham+Deedes+St.)"
Talpiot,Public Shelter No.679,"https://www.waze.com/ul?ll=31.76344980,35.22545390&amp;navigate=yes&amp;zoom=16",200,,160,"Emergency and Security Division, Jerusalem Municipality",31.7634366619788,35.2256433,59 Hebron Rd.,,,Talpiyot - Arnona,"https://www.google.com/maps/dir//31.7634498,35.2254539+(59+Hebron+Rd.)"
Baka,Public Shelter No.681,"https://ul.waze.com/ul?place=ChIJZfgatiYoAxURNuZXb0gVP9k&amp;ll=31.75939280,35.21896830&amp;navigate=yes&amp;utm_campaign=default,default&amp;utm_source=waze_website,waze_website&amp;utm_medium=lm_share_location",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.75959347,35.2189683,8 Efrayim St.,,,Baka,"https://www.google.com/maps/dir//31.7593928,35.2189683+(8+Efrayim+St.)"
Baka,Public Shelter No.682,"https://www.waze.com/ul?ll=31.75935280,35.21890230&amp;navigate=yes&amp;zoom=16",135,,108,"Emergency and Security Division, Jerusalem Municipality",31.75951784,35.2188286,14 Reuven St.,,,Baka,"https://www.google.com/maps/dir//31.7593528,35.2189023+(14+Reuven+St.)"
Baka,Public Shelter No.683,"https://www.waze.com/ul?ll=31.75982140,35.22352620&amp;navigate=yes&amp;zoom=16",170,,136,"Emergency and Security Division, Jerusalem Municipality",31.76002206,35.2235262,54 Hebron Rd.,,,Baka,"https://www.google.com/maps/dir//31.7598214,35.2235262+(54+Hebron+Rd.)"
Baka,Public Shelter No.684,"https://goo.gl/maps/DBvHPN7VXXp?ll=31.75982140,35.22352620&amp;navigate=yes&amp;zoom=16",295,,236,"Emergency and Security Division, Jerusalem Municipality",31.75875,35.22264,6 Esther HaMalka St.,,,Baka,"https://www.google.com/maps/dir//31.7598214,35.2235262+(6+Esther+HaMalka+St.)"
Baka,Public Shelter No.685,"https://www.waze.com/ul?ll=31.75702360,35.22194250&amp;navigate=yes&amp;zoom=16",200,,160,"Emergency and Security Division, Jerusalem Municipality",31.75722449,35.22199465,6 Mordechai HaYehudi St.,,,Baka,"https://www.google.com/maps/dir//31.7570236,35.2219425+(6+Mordechai+HaYehudi+St.)"
Talpiot,Public Shelter No.688,"https://www.waze.com/ul?ll=31.75255220,35.22187030&amp;navigate=yes&amp;zoom=16",200,,160,"Emergency and Security Division, Jerusalem Municipality",31.7525460893196,35.22182315,18 Efrata St.,,,Talpiyot - Arnona,"https://www.google.com/maps/dir//31.7525522,35.2218703+(18+Efrata+St.)"
Talpiot,Public Shelter No.689,"https://ul.waze.com/ul?place=EiRCZW4gR2F2cmllbCBTdCAxMCwgSmVydXNhbGVtLCBJc3JhZWwiMBIuChQKEgnhMXQxGSgDFRFagfdZzXwTkBAKKhQKEgkrfJE2GSgDFRENScS7vvQR_A&amp;ll=31.75021310,35.22088390&amp;navigate=yes&amp;utm_campaign=default,default&amp;utm_source=waze_website,waze_website&amp;utm_medium=lm_share_location",90,,72,"Emergency and Security Division, Jerusalem Municipality",31.74909478061,35.2200234,10 Ben Gavriel St.,,,Talpiyot - Arnona,"https://www.google.com/maps/dir//31.7502131,35.2208839+(10+Ben+Gavriel+St.)"
Talpiot,Public Shelter No.690,https://ul.waze.com/ul?venue_id=23068989.230820967.255811&amp;overview=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location,240,,192,"Emergency and Security Division, Jerusalem Municipality",31.74919744,35.2234383,"1 Leib Yaffe St., jerusalem",,,Talpiyot - Arnona,"https://www.google.com/maps/dir//31.74919744,35.2234383+(1+Leib+Yaffe+St.,+jerusalem)"
Talpiot,Public Shelter No.691,"https://ul.waze.com/ul?ll=31.75189020,35.21884540&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.75177480,35.21944020&amp;navigate=yes&amp;zoom=16",440,,352,"Emergency and Security Division, Jerusalem Municipality",31.7520877741159,35.21891075,93 Bethlehem Rd.,,,Talpiyot - Arnona,"https://www.google.com/maps/dir//31.7518902,35.2188454+(93+Bethlehem+Rd.)"
Emek Refaim,Public Shelter No.693,"https://ul.waze.com/ul?place=ChIJ9b5pgtjXAhURt4V9xghL4h4&amp;ll=31.76251050,35.21476740&amp;navigate=yes&amp;utm_campaign=default,default&amp;utm_source=waze_website,waze_website&amp;utm_medium=lm_share_location",170,,136,"Emergency and Security Division, Jerusalem Municipality",31.76274013,35.21468592,9 Yotam St.,,,German Colony,"https://www.google.com/maps/dir//31.7625105,35.2147674+(9+Yotam+St.)"
German Colony,Public Shelter No.695,"https://www.waze.com/ul?ll=31.76225270,35.21485970&amp;navigate=yes&amp;zoom=16",250,,200,Chabad synagogue,31.76231446,35.21556613,2 Amatsiya St.,,,German Colony,"https://www.google.com/maps/dir//31.7622527,35.2148597+(2+Amatsiya+St.)"
Old Katamon,Public Shelter No.696 ,"https://www.waze.com/ul?ll=31.76109180,35.21334270&amp;navigate=yes&amp;zoom=16",164,,131,"Emergency and Security Division, Jerusalem Municipality",31.76129246,35.21325687,3 Reish Lakish St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7610918,35.2133427+(3+Reish+Lakish+St.)"
Emek Refaim,Public Shelter No.697,"https://www.waze.com/ul?ll=31.76055700,35.21525000&amp;navigate=yes&amp;zoom=16",160,,128,"Emergency and Security Division, Jerusalem Municipality",31.76069919,35.21523335,27 Yehoshua Bin Nun St.,,,German Colony,"https://www.google.com/maps/dir//31.760557,35.21525+(27+Yehoshua+Bin+Nun+St.)"
Old Katamon&nbsp;,Public Shelter No.703,"https://www.waze.com/ul?ll=31.75604300,35.20517330&amp;navigate=yes&amp;zoom=16",170,,136,"""Zchut Avot"" synagogue",31.7563287,35.20489024,53 Yohanan Ben Zakai St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.756043,35.2051733+(53+Yohanan+Ben+Zakai+St.)"
Giv'at Havradim (Rassco),Public Shelter No.715,"https://goo.gl/maps/wPX1uqTVmXT2?ll=31.78996270,35.21151270&amp;navigate=yes&amp;zoom=16",180,,144,"Emergency and Security Division, Jerusalem Municipality",31.7613637184524,35.20108822,52 David Shimoni St.,,,Rassco - Givat HaVradim,"https://www.google.com/maps/dir//31.7899627,35.2115127+(52+David+Shimoni+St.)"
Katamon,Public Shelter No.718,"https://ul.waze.com/ul?ll=31.75369450,35.19495770&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location",120,,96,Gonenim Community Administration,31.75450818,35.19382965,6 Rabbi Tzadok St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7536945,35.1949577+(6+Rabbi+Tzadok+St.)"
Kiryat HaYovel,Public Shelter No.721,"https://www.waze.com/ul?ll=31.75548920,35.17729790&amp;navigate=yes&amp;zoom=16",130,,104,"Community Administration, Public Health Division, Jerusalem Municipality",31.7554799513654,35.1773231616195,29 Uruguay St.,,,Kiryat Yovel,"https://www.google.com/maps/dir//31.7554892,35.1772979+(29+Uruguay+St.)"
Kiryat HaYovel,Public Shelter No.722,"https://www.waze.com/ul?ll=31.75637470,35.17665450&amp;navigate=yes&amp;zoom=16",130,,104,"Emergency and Security Division, Jerusalem Municipality",31.7563746741139,35.176665232783,67 Avraham Stern St.,,,Kiryat Yovel,"https://www.google.com/maps/dir//31.7563747,35.1766545+(67+Avraham+Stern+St.)"
Kiryat HaYovel,Public Shelter No.723,"https://www.waze.com/ul?ll=31.75340830,35.17668960&amp;navigate=yes&amp;zoom=16",130,,104,"Emergency and Security Division, Jerusalem Municipality",31.75424528,35.17664425,51 Avraham Stern St.,,,"Kiryat Yovel, Accessible Shelter","https://www.google.com/maps/dir//31.7534083,35.1766896+(51+Avraham+Stern+St.)"
